Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Department of Transport and Planning,2022,qtr 4 2023-24,20000000,97000000,,Metropolitan Road and Intersection Upgrades (metropolitan various),Existing,Transport,117000000
Department of Transport and Planning,2022,qtr 4 2025-26,35000000,66000000,The TEI includes $6.700 million of funding from the Wyndham City Council.,Metropolitan road upgrades 2022-23 (metropolitan),Existing,Transport,101000000
Department of Transport and Planning,2022,qtr 2 2024-25,53000000,52000000,The estimated completion date has been revised to quarter 2 2024-25 due to delays in the supply of materials.,Targeted Road Safety Works (statewide),Existing,Transport,106000000
Department of Transport and Planning,2022,qtr 4 2023-24,76000000,43000000,The estimated completion date has been revised to quarter 4 2023-24 in line with a revised project schedule.,Maintaining Victoria's road network (statewide),Existing,Transport,119000000
Department of Transport and Planning,2022,qtr 2 2023-24,78000000,30000000,,Road maintenance blitz (statewide),Completed,Transport,109000000
Department of Transport and Planning,2022,qtr 4 2029-30,84000000,6438000000,"The TEI includes funding of $6,522.100 million announced in the 2022 Victorian Economic and Fiscal Update.",Twenty-five more level crossing removals by 2030 (Level Crossing Removal) (metropolitan various),New,Transport,6522000000
Department of Transport and Planning,2022,qtr 2 2024-25,106000000,7000000,The TEI includes $57.500 million of Commonwealth Government funding.,Western Port Highway (Skye),Completed,Transport,114000000
Department of Transport and Planning,2022,qtr 4 2024-25,108000000,147000000,,Great Ocean Road Renewal (Barwon South West),Existing,Transport,255000000
Department of Transport and Planning,2022,qtr 4 2022-23,121000000,0,This initiative moved from the Department of Treasury and Finance to the Department of Transport and Planning due to machinery of government changes.,Acquisition of Bendigo GovHub (Bendigo),Completed,Transport,121000000
Department of Transport and Planning,2022,qtr 4 2023-24,155000000,18000000,,Keeping Victorians moving (metropolitan),Existing,Transport,173000000
Department of Transport and Planning,2022,qtr 4 2023-24,175000000,20000000,,Metropolitan and regional restoration and maintenance (statewide),Completed,Transport,195000000
Department of Transport and Planning,2022,qtr 4 2024-25,196000000,41000000,,"TAC Victoria's Road Safety Strategy, Towards Zero 2016-2020 (TZ2) (regional various)",Completed,Transport,237000000
Department of Transport and Planning,2022,qtr 3 2022-23,212000000,0,"The TEI is composed of funding announced in the 2022 Victorian Economic and Fiscal Update. This initiative moved from the former Department of Jobs, Precincts and Regions to the Department of Transport and Planning due to machinery of government changes.","Purchase of a site on Poplar Road, Parkville (Parkville)",Completed,Transport,212000000
Department of Transport and Planning,2022,qtr 2 2023-24,274000000,91000000,The TEI includes $292.000 million of Commonwealth Government funding.,Barwon Heads Road Upgrade (Barwon Heads),Existing,Transport,365000000
Department of Transport and Planning,2022,qtr 4 2025-26,628000000,0,This initiative is funded by the Transport Accident Commission.,Road Safety Strategy 2013-2022 (statewide),Completed,Transport,628000000
Department of Transport and Planning,2022,qtr 1 2024-25,977000000,43000000,The TEI includes $686.216 million of Commonwealth Government funding.,Monash Freeway upgrade - Stage 2 (South-East Melbourne),Completed,Transport,1019000000
Director of Housing,2022,qtr 4 2026-27,0,136000000,This initiative is part of Labor’s Financial Statement 2022.,Cooling our public housing towers (metropolitan),New,Health and human services,136000000
Director of Housing,2022,qtr 1 2027-28,1334000000,1733000000,The estimated completion date has been revised to quarter 1 2027-28 due to the ongoing economic impact of COVID-19 including supply chain disruptions.,Big Housing Build (statewide),Existing,Health and human services,3067000000
Director of Housing,2022,tbc,13000000,247000000,The estimated completion date will be disclosed following further project development and procurement processes.,Homes Victoria Ground Lease Model Project 2 (metropolitan),Existing,Health and human services,260000000
Director of Housing,2022,qtr 4 2026-27,82000000,102000000,,Big Housing Build physical improvements (statewide),Existing,Health and human services,184000000
Director of Housing,2022,qtr 2 2024-25,102000000,83000000,,Public housing renewal program (statewide),Existing,Health and human services,185000000
Director of Housing,2022,qtr 4 2023-24,173000000,2000000,"The TEI has increased by $20.310 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards. The estimated completion date has been revised to quarter 4 2023-24 due to the ongoing economic impact of COVID-19 including supply chain disruptions.",Building works stimulus (statewide),Existing,Health and human services,175000000
Director of Housing,2022,qtr 3 2023-24,237000000,27000000,,Homes Victoria Ground Lease Model Project 1 (metropolitan),Existing,Health and human services,264000000
Fire Rescue Victoria,2022,qtr 4 2027-28,24000000,83000000,The TEI has increased by $3.202 million due to a revised project scope. The estimated completion date has been revised to quarter 4 2027-28 in line with a revised project schedule.,FRV Capital Upgrades Program (statewide),Existing,Justice and emergency services,107000000
Other PNFC,2022,qtr 2 2028-29,79000000,1495000000,"The TEI has increased by $2.614 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards. The estimated completion date was previously ’tbc’ and has now been disclosed following further project development.",Melbourne Arts Precinct Transformation Phase One (Melbourne),Existing,"Culture, sport and community",1574000000
Other PNFC,2022,qtr 1 2024-25,123000000,5000000,The estimated completion date has been revised to quarter 1 2024-25 in line with a staged project schedule. The TEI includes a $27.000 million contribution from the Knox City Council.,State Basketball Centre redevelopment (Knox),Existing,"Culture, sport and community",128000000
Other PNFC,2022,qtr 1 2023-24,140000000,0,The estimated completion date has been revised to quarter 1 2023-24 to reflect the planned public opening date of the Geelong Performing Arts Centre.,Building a world class Geelong Performing Arts Centre (Geelong),Existing,"Culture, sport and community",140000000
Other PNFC,2022,qtr 3 2023-24,142000000,0,"The project's location has changed from ‘statewide’ to ‘Geelong’ to better reflect the project’s service area. The TEI has increased by $0.685 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards. The project's cashflow reflects the project's funding agreement with the Kardinia Park Stadium Trust to ensure sufficient cashflow to manage the project to the estimated completion date. The estimated completion date has been revised to quarter 3 2023-24 to reflect delays caused by construction industry supply chain issues.",Kardinia Park Stadium Stage 5 Redevelopment (Geelong),Existing,"Culture, sport and community",142000000
State Tolling Corporation,2022,qtr 2 2028-29,2419000000,11615000000,The TEI includes the $11.100 billion contract with the Spark consortium to deliver the Primary Package and other costs associated with the operations of the State Tolling Corporation. The project includes a share of $1.750 billion of Commonwealth Government funding. The TEI excludes financing costs associated with the Primary Package. The State Tolling Corporation is responsible for providing funding contributions to the ‘North East Link – Primary Package (Tunnels)' initiative. This project may be subject to the Commonwealth Infrastructure Investment Pipeline review.,North East Link – Primary Package (Tunnels) and State Toll Co (Greensborough),Existing,Transport,14034000000
